text,
@TheEconomist #fear #economics spearheads #speculation @WSJ @LSEnews @wef,Fear
"Even by coughing you can sense ""racism"" when a White cough in a room there's like nothing happened but when Asian does its like a bomb exploded.",Angry
What would you attempt to do if you knew you could not fail?  Dr Robert Schuller,Pleasant
"""The time is always right to do the right thing""",Pleasant
God has a bigger plan for me than i have for myself,Pleasant
You will never be 100% ready to change. Dont wait for the perfect time.,Pleasant
How wonderful it is that nobody need wait a single moment before starting to improve the world. - Anne Frank,Excitement
"@nomnom2010 @CamillaTominey #racist #blocked as you are beyond boring! Play the race card, = you have no other arguments",Angry
"Every time you start over, your not starting from scratch.  You have SO much more experience from the lessons learned along the way.",Pleasant
"Why is it not #racist for Harvard admittance to discriminate against Asians, but call a virus that originated in Wuhan the ""Wuhan Virus"" and the left loses their sh*t. #hypocrisy 

I was calling it the #CoronaVirus, but I'm now calling it #WuHanVirus out of spite.  FU snowflakes.",Angry
"@RussDiabo #UNDRIP would be chaotic in #Canada because we couldn't be so #racist with our @RCMP and #mining #forestry, #pipeline building, etc.",Angry
"Every time you start over, your not starting from scratch.  You have SO much more experience from the lessons learned along the way.",Excitement
"If your life will ever e better than it was (is), you will have to let go of the things that made (make) it as good as it was (is) and seek for what will make it better. #Motivation via @commun_it",Excitement
@StubHub is contributing to the #fearmongering around #coronavirus. #recession is inevitable when companies change terms because of #fear. #embarrassing. Be mindful of #corona but relax and dont let the #media freak you out,Fear
"Good Morning My Fellow Beach Lovers! Another Tuesday to relax! It's March 10, 2020 at 07:00AM Let's go to the #beach &amp; enjoy.",Happy
@sam_vinograd And Trump still has not collected on his Nobel Prize.,Surprise
What would you attempt to do if you knew you could not fail?  Dr Robert Schuller,Excitement
On to a #Scream marathon...which one do you love the most?,Fear
If you haven't run a #marathon before it can be a fantastic goal for yourself &amp; to kick start your fitness plans so come on what are you waiting for? ,Pleasant
"There is no way to prosperity, prosperity is the way. -Wayne Dyer",Excitement
I feel like I'm losing myself again... Why is this happening... ,Fear
@AndyWoodturner you've never had bacon and eggs before?,Surprise
Think my mum being mad at me and not talking to me is worse than any heartbreak Ive gone through,Surprise
@JuliaDavisNews Did they discuss collapsing our energy companies?,Surprise
"SOUTH AFRICA TODAY:
---------------------------------------

 Stage 4 load shedding - since 2pm
 Cases of the (global pandemic) COVID-19 rising 
 Protest action (especially amongst students)
 Crime
 Retrenchments 
 Recession (inevitable?)

#Cry, the Beloved Country",Surprise
"Its NOT #racist to blame the #ChineseCoronavirus on China, as the #Chinese govt bent over backwards to keep #SARSCoV2 a secret for nearly 2 months, letting it spread globally during the time! Its racist to blame individual Chinese citizens for their governments malpractice!",Angry
" Don't be the choice for anyone, be the top priority for everyone.
.
.",Pleasant
Happy Holi Friends,Happy
@TiffanyDCross Shamelessly begging for a retweet from her Dear Leader. Career must be fading.,Surprise
